Name rus, Name eng,DOB,Gender,Description,Tag
Алехин Андрей Анатольевич,Alekhin Andrey Anatolievich,09.02.1959,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Алехина Марина Анатольевна.,Alekhina Marina Anatolevna,,Female,"Editor-in-Chief of the newspaper ""Khakassia"" (owned by the Government and Parliament of the Republic of Khakassia)","Propagandists
Regional press"
Алехно Руслан Фёдорович,Alekhno Ruslan Fedorovich,14.10.1981,male,Singer. Participated in a concert in support of the war against Ukraine,"Sellout opinion leaders
Celebrities, influencers and bloggers"
Алекно Владимир Романович,Alekno Vladimir Romanovich,04.12.1966,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Алекперов Тарлан Кахриманович,Alekperov Tarlan Kakhrimanovich,,Male,"Editor-in-Chief of the newspaper ""Derbent"" (owned by the Agency of Information and Press of the Republic of Dagestan)","Propagandists
Regional press"
Алекперов Вагит Юсуфович,Alekperov Vagit Yusufovich,01.09.1950,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.","Individuals involved in corruption
Oligarchs"
Александров Алексей Александрович,Aleksandrov Alexey Alexandrovich,16.06.1981,male,Member of Alexei Navalny's poisoning group.,"Individuals involved in corruption
Investigations subjects"
Александров Анатолий Александрович,Aleksandrov Anatoly Aleksandrovich,07.04.1951,male,"President of Bauman Moscow State Technical University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.

Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Warmongers
Educators

Putin’s Public Supporters
Presidential proxies in elections"
Александров Андрей Юрьевич,Aleksandrov Andrey Yurievich,21.05.1966,male,Rector of the I.N. Ulyanov Chuvash State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Александров Глеб Юрьевич,Aleksandrov Gleb Yurievich,15.11.1974,male,"Pseudonym Raevsky Dmitry
Public figure. Expressed public support for the actions of the Russian army in Ukraine","Sellout opinion leaders
Celebrities, influencers and bloggers"
Александров Михаил Владимирович,Aleksandrov Mikhail Vladimirovich,27.02.1960,male,"General Director of JSC ""Shipbuilding and Shiprepair Technology Center"", Member of the Board of Directors of JSC ""Shipbuilding and Shiprepair Technology Center""",Top Management of State Owned Companies
Александров Владимир Борисович,Aleksandrov Vladimir Borisovich,,male,Member of the Management Board of PJSC Aeroflot,Top Management of State Owned Companies
Александров Владимир Леонидович,Aleksandrov Vladimir Leonidovich,10.10.1944,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Александровский Сергей Владимирович,Aleksandrovsky Sergey Vladimirovich,09.09.1976,male,General Director of PJSC Aeroflot,Top Management of State Owned Companies
Алексеенко Алексей Александрович,Alekseenko Alexey Alexandrovich,,male,"Deputy director of the LLC ""Vas Experts"". The company manufactures and (or) develops equipment for mass surveillance of Russian Internet users","Organizers of political repressions
Internet censors"
Алексеенко Николай Николаевич,Alekseenko Nikolai Nikolaevich,29.11.1971,male,Member of the State Duma of the Russian Federation. This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Алексеев Андрей Игоревич,Alekseev Andrey Igorevich,,male,"Deputy Governor of Kurgan Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Алексеев Михаил Юрьевич,Alekseev Mikhail Yurievich,04.01.1964,male,Deputy Chairman of the Bank of Russia. The Bank of Russia is the state body responsible for monetary policy and maintaining financial stability in order to continue Russia's military aggression against Ukraine.,"State Bankers
Central Bank employees, board members "
Алексеев Олег Александрович,Alekseev Oleg Alexandrovich,21.12.1967,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Алексеев Олег Васильевич,Alekseev Oleg Vasilievich,12.12.1968,male,"Head of the Directorate of the Federal Security Service of Russia for the Vologda Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
